tc_id,name,run_id,approximation_ratio,qaoa_expected_cut,bf_cut_value,runtime_seconds
TC1,星形圖（無權重）,1,0.8699,3.4795,4.0,12.43
TC1,星形圖（無權重）,2,0.87,3.48,4.0,11.38
TC1,星形圖（無權重）,3,0.877,3.5078,4.0,11.67
TC1,星形圖（無權重）,4,0.8557,3.4229,4.0,10.26
TC1,星形圖（無權重）,5,0.8909,3.5635,4.0,14.89
TC2,K3 三角形（幾何阻挫）,1,1.0,2.0,2.0,8.87
TC2,K3 三角形（幾何阻挫）,2,1.0,2.0,2.0,10.29
TC2,K3 三角形（幾何阻挫）,3,0.998,1.9961,2.0,10.89
TC2,K3 三角形（幾何阻挫）,4,0.999,1.998,2.0,12.01
TC2,K3 三角形（幾何阻挫）,5,0.9971,1.9941,2.0,10.3
TC3,帶權重圖（資料中心）,1,0.7223,18.0566,25.0,12.05
TC3,帶權重圖（資料中心）,2,0.7061,17.6514,25.0,12.28
TC3,帶權重圖（資料中心）,3,0.7053,17.6318,25.0,11.84
TC3,帶權重圖（資料中心）,4,0.6949,17.373,25.0,12.7
TC3,帶權重圖（資料中心）,5,0.7088,17.7197,25.0,13.46
TC4,分離子圖（連通性警告）,1,0.9971,1.9941,2.0,12.49
TC4,分離子圖（連通性警告）,2,0.9849,1.9697,2.0,11.4
TC4,分離子圖（連通性警告）,3,1.0,2.0,2.0,14.0
TC4,分離子圖（連通性警告）,4,0.9985,1.9971,2.0,12.64
TC4,分離子圖（連通性警告）,5,1.0,2.0,2.0,9.46
